date,home_team,away_team,home_score,away_score,neutral
2026-06-13,Qatar,Switzerland,1,1,True
2026-06-13,Brazil,Morocco,1,1,True
2026-06-13,Haiti,Scotland,0,1,True
2026-06-13,Australia,Turkey,2,0,True
